Id	ChapterId	Name	Rule	NeedKeyNum	FloorNum	Image	Rule	Kind	Info	StagePrefab	Bgm	Story	EnemyNum	FieldSize	EncountMapId	Feature	NextIds
20	2	アベルの亡霊	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	1	それはまるで巨大なゴースト。古き文明が残した未練を断ち切れ！	ClassRoomStage	BossBattle		3	3	1		21
21	3	この街で生きるということ	GET_KEY_AND_GOAL	2	5	IceIcon	0	2	この街は優しくない。生き抜くために、誰もが心を尖らせる。	ClassRoomStage		Story_2	3	3	1		22
22	3	氷の世界	GET_KEY_AND_GOAL	2	5	IceIcon	0	0	そこは見た事の無い、きれいな水が凍った世界。	ClassRoomStage	FREEBGM_03052LLP		3	3	1		23
23	3	悪魔のドクター	GET_KEY_AND_GOAL	2	5	IceIcon	0	0	悪魔的ドクター現る。	ClassRoomStage	FREEBGM_03052LLP		3	3	1		24
24	3	ヘイト管理	GET_KEY_AND_GOAL	2	5	IceIcon	0	0	回復役を先に倒すか、回復される前に倒すか。戦略と選択。	ClassRoomStage	FREEBGM_03052LLP		3	3	1		25
25	3	罠！	GET_KEY_AND_GOAL	2	5	IceIcon	1	0	入ってきた道が閉ざされ、閉じ込められた。脱出するためのカギを集めなくては。	ClassRoomStage	FREEBGM_03052LLP		3	3	1		26
26	3	過剰医療体制	GET_KEY_AND_GOAL	2	5	IceIcon	0	0	明らかに医者供給過剰。どうやら悪魔にバランスという意識は無い様だ。	ClassRoomStage	FREEBGM_03052LLP		3	3	1		27
27	3	悪魔の進化	GET_KEY_AND_GOAL	2	5	IceIcon	0	0	少年は戦慄した。悪魔たちは自分の弱点を学習し、克服し始めている！	ClassRoomStage	FREEBGM_03052LLP		3	3	1		28
28	3	ヘビーアーマー	GET_KEY_AND_GOAL	2	5	IceIcon	0	0	重量級悪魔登場。これまでに無い耐久力と火力に用心せよ。	ClassRoomStage	FREEBGM_03052LLP		3	3	1		29
29	3	無差別級	GET_KEY_AND_GOAL	2	5	IceIcon	0	0	軽・中・重量級が入り混じる戦場。そこには階級制もルールも存在しない。	ClassRoomStage	FREEBGM_03052LLP		3	3	1		30
30	3	巨大悪魔・改	GET_KEY_AND_GOAL	2	5	IceIcon	0	1	巨大悪魔、再び。油断するな、強くなったと思った時こそ、危険は訪れる。	ClassRoomStage	BossBattle		3	3	1		31
31	4	ガルフ	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	2	純血の天使、ガルフ。この街の支配者であり、兄妹の父を奪った人物。	ClassRoomStage		Story_3	3	3	1		32
32	4	アベル芸術館へようこそ	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	0	失われた芸術で作られたフロア。残念ながら、少年にその価値は分からなかった。	ClassRoomStage	Jumping_to_the_moon		3	3	1		33
33	4	剣士の誇り	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	0	無粋な飛び道具は無しだ。さぁ、剣と剣の戦いを始めよう。	ClassRoomStage	Jumping_to_the_moon		3	3	1		34
34	4	重剣	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	0	重火器と剣が組めばどうなるか。その答えがここにある。	ClassRoomStage	Jumping_to_the_moon		3	3	1		35
35	4	君に残された時間	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	1	0	再び妹の病状が悪化した。発作のスパンが短くなっている。吸入器を探さなくては！	ClassRoomStage	Jumping_to_the_moon		3	3	1		36
36	4	混成部隊３	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	0	これまでの全種の悪魔が襲い掛かる。それぞれの弱点を突き、勝機を見いだせ！	ClassRoomStage	Jumping_to_the_moon		3	3	1		37
37	4	接近専科	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	0	彼らこそ接近戦専門部隊。命知らずのクレイジー悪魔の恐怖を知れ。	ClassRoomStage	Jumping_to_the_moon		3	3	1		38
38	4	銃士の流儀	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	0	さぁ来い、剣士よ。その間合いに入る前に、銃口の洗礼を与えよう。	ClassRoomStage	Jumping_to_the_moon		3	3	1		39
39	4	ファイア・イズ・パワー	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	0	大火力こそ力。その火力の前に反論など存在しない。	ClassRoomStage	Jumping_to_the_moon		3	3	1		40
40	4	悪夢は蘇る	GET_KEY_AND_GOAL	2	5	StainedGlassIcon	0	1	亡霊は一度では消えない。再び現れた悪夢を断ち切れ！	ClassRoomStage	BossBattle		3	3	1		41
41	5	タイムリミット	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	2	終焉の時が近づいてきている。決断しなければならない。	ClassRoomStage		Story_4	3	3	1		42
42	5	マグマの世界	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	0	容赦の無い熱波が襲う地獄のような環境で、少年は地獄の住人に立ち向かう。	ClassRoomStage	FREEBGM_02102LLP		3	3	1		43
43	5	サソリのテリトリー	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	0	サソリの部屋に迷い込めば、それはどんな英雄でも獲物となる。	ClassRoomStage	FREEBGM_02102LLP		3	3	1		44
44	5	剣は銃より強し？	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	0	小火器と重火器。それに対するは剣一本。喜劇か悲劇か、それとも痛快劇か。	ClassRoomStage	FREEBGM_02102LLP		3	3	1		45
45	5	罠、再び！	GET_KEY_AND_GOAL	2	5	MagmaIcon	1	0	罠だ！　少年は確信した。いや、知っていた。悪魔以外に自分を狙う存在の正体を。	ClassRoomStage	FREEBGM_02102LLP		3	3	1		46
46	5	混成部隊４	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	0	全種混成戦。油断はするな、奴らの練度は上がっている。	ClassRoomStage	FREEBGM_02102LLP		3	3	1		47
47	5	サタデーナイトフィーバー	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	0	練度の低い悪魔が物量で襲い掛かる。苛立つな、冷静さを失えば負けだ！	ClassRoomStage	FREEBGM_02102LLP		3	3	1		48
48	5	重兵士の死線	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	0	雨のごとく降り注ぐ銃弾。悪魔の持つ重火器に少年の剣は届くのか。	ClassRoomStage	FREEBGM_02102LLP		3	3	1		49
49	5	予感	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	0	この先に行けば、もう引き返せない運命が待つ。そんな予感がした。	ClassRoomStage	FREEBGM_02102LLP		3	3	1		50
50	5	師弟対決	GET_KEY_AND_GOAL	2	5	MagmaIcon	0	1	お互いの想いがある限り、それは避けられぬ戦いであった。	ClassRoomStage	Reflect		3	3	1		51
51	6	王	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	2	人類の王と悪魔の王が相まみえた時、その所業は断罪される。	ClassRoomStage		Story_5	3	3	1		52
52	6	そらのうえ	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	0	見よ、これが真実だ。ここは地下などでは無かった……。	ClassRoomStage	FREEBGM_02142LLP		3	3	1		53
53	6	失意の戦路	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	0	失ったものは大きい。しかし、その歩みを止めることはできない。	ClassRoomStage	FREEBGM_02142LLP		3	3	1		54
54	6	最強の剣士	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	0	人類最強の剣士となった少年に、悪魔の剣士たちが挑む。	ClassRoomStage	FREEBGM_02142LLP		3	3	1		55
55	6	最後の証	GET_KEY_AND_GOAL	2	5	SpaceIcon	1	0	王に挑む権利を獲得せよ。７つの証を集めることで、その門は開かれる。	ClassRoomStage	FREEBGM_02142LLP		3	3	1		56
56	6	地上へ至る通路	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	0	悪魔の王、そして地上へ向かう長い長い通路。無数の護衛がそれを阻む。	ClassRoomStage	FREEBGM_02142LLP		3	3	1		57
57	6	チェックメイト	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	0	少年は地上に迫っている。それは悪魔の中枢に近づくということでもある。	ClassRoomStage	FREEBGM_02142LLP		3	3	1		58
58	6	四天王	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	0	プロトタイプ- 4。原型にして最強の４体が、行く手を阻む。	ClassRoomStage	FREEBGM_02142LLP		3	3	1		59
59	6	総力戦！	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	0	互いの存亡をかけた総力戦。残る全ての力と力がぶつかり合う。	ClassRoomStage	FREEBGM_02142LLP		3	3	1		60
60	6	悪魔の王	GET_KEY_AND_GOAL	2	5	SpaceIcon	0	1	さあ少年よ、王へと挑む覚悟はできたか？　全てを賭した最後の戦いを。	ClassRoomStage	LastBattle		3	3	1		61
61	7	そらのした	GET_KEY_AND_GOAL	2	5	SoranoShitaIcon	0	2	見よ。君が望んだ結末を。君の願った未来を。	ClassRoomStage		Ending	3	3	1		
